n_S, m_S, n, m, c_S, internal_density, edges_inside, average_degree, fomd, tpr, expansion, cut_ratio, conductance, normalized_cut, maximum_odf, average_odf, flake_odf, modularity, auc_score
6.0,2.0,19634.0,270970.0,273,0.13333333333333333,2.0,0.6666666666666666,0.0,0.16666666666666666,45.5,0.0023181169757489303,0.9855595667870036,0.986063062671432,1.0,0.991111111111,0.8333333333333334,-16.8575,0.445685
8.0,1.0,19634.0,270970.0,92,0.03571428571428571,1.0,0.25,0.0,0.125,11.5,0.0005859574034444105,0.9787234042553191,0.9788931365579592,1.0,0.991666666667,1.0,-5.67,0.448047
8.0,1.0,19634.0,270970.0,117,0.03571428571428571,1.0,0.25,0.0,0.125,14.625,0.0007451849587282177,0.9831932773109243,0.9834091225664796,1.0,0.991666666667,1.0,-7.2425,0.477692
19.0,1.0,19634.0,270970.0,516,0.005847953216374269,1.0,0.10526315789473684,0.0,0.05263157894736842,27.157894736842106,0.0013845472718247314,0.9961389961389961,0.9970902288702508,1.0,0.995423340961,1.0,-31.994999999999997,0.7500265
6.0,1.0,19634.0,270970.0,134,0.06666666666666667,1.0,0.3333333333333333,0.0,0.16666666666666666,22.333333333333332,0.0011378303104408669,0.9852941176470589,0.9855413172810559,1.0,0.962962962963,1.0,-8.2725,0.905589
11.0,22.0,19634.0,270970.0,632,0.4,22.0,4.0,0.181818181818,0.36363636363636365,57.45454545454545,0.002927918537152599,0.9349112426035503,0.9360761594373358,1.0,0.942601217744,1.0,-38.36,0.7995265
17.0,4.0,19634.0,270970.0,978,0.029411764705882353,4.0,0.47058823529411764,0.0,0.23529411764705882,57.529411764705884,0.0029326304615744448,0.9918864097363083,0.9936878132838576,1.0,0.991053074721,1.0,-60.8,0.8770615
9.0,5.0,19634.0,270970.0,217,0.1388888888888889,5.0,1.1111111111111112,0.0,0.3333333333333333,24.11111111111111,0.0012285916489738146,0.9559471365638766,0.9563473970098443,1.0,0.949641015269,1.0,-13.1175,0.830176
12.0,4.0,19634.0,270970.0,296,0.06060606060606061,4.0,0.6666666666666666,0.0,0.25,24.666666666666668,0.0012570923793021437,0.9736842105263158,0.9742301063487374,1.0,0.963766277693,1.0,-18.1075,0.420316
7.0,0.0,19634.0,270970.0,154,0.0,0.0,0.0,0.0,0.0,22.0,0.0011209048759362103,1.0,1.0002840835722218,1.0,1.0,1.0,-9.5925,0.924595
17.0,18.0,19634.0,270970.0,953,0.1323529411764706,18.0,2.1176470588235294,0.0588235294118,0.35294117647058826,56.05882352941177,0.0028576654702254047,0.9635995955510617,0.9653551223288319,1.0,0.937268881717,1.0,-58.27,0.6881485
8.0,13.0,19634.0,270970.0,526,0.4642857142857143,13.0,3.25,0.125,0.625,65.75,0.0033501477631713034,0.9528985507246377,0.9538682432251907,1.0,0.955889136051,1.0,-31.909999999999997,0.788591
6.0,54.0,19634.0,270970.0,1106,3.6,54.0,18.0,0.666666666667,0.5,184.33333333333334,0.00939134569662387,0.9110378912685337,0.9130749562741145,0.979245283019,0.83354885798,1.0,-65.705,0.993619
6.0,0.0,19634.0,270970.0,103,0.0,0.0,0.0,0.0,0.0,17.166666666666668,0.0008746009102642483,1.0,1.0001900218248367,1.0,1.0,1.0,-6.3575,0.6308915
14.0,1.0,19634.0,270970.0,431,0.01098901098901099,1.0,0.14285714285714285,0.0,0.07142857142857142,30.785714285714285,0.0015690985874472112,0.9953810623556582,0.9961757242924576,1.0,0.971428571429,1.0,-26.965,0.531534
6.0,2.0,19634.0,270970.0,134,0.13333333333333333,2.0,0.6666666666666666,0.0,0.16666666666666666,22.333333333333332,0.0011378303104408669,0.9710144927536232,0.9712616932996782,1.0,0.981981981982,1.0,-8.2525,0.6914425
17.0,12.0,19634.0,270970.0,561,0.08823529411764706,12.0,1.411764705882353,0.117647058824,0.29411764705882354,33.0,0.0016822144058724576,0.958974358974359,0.9600085042007925,1.0,0.965939577513,1.0,-34.06,0.731938
7.0,1.0,19634.0,270970.0,31,0.047619047619047616,1.0,0.2857142857142857,0.0,0.14285714285714285,4.428571428571429,0.00022563669580534103,0.9393939393939394,0.9394511382374158,1.0,0.964285714286,1.0,-1.8075,0.519595
13.0,3.0,19634.0,270970.0,247,0.038461538461538464,3.0,0.46153846153846156,0.0,0.15384615384615385,19.0,0.000968350236990979,0.9762845849802372,0.976740152401449,1.0,0.985364396655,0.9230769230769231,-15.17,0.46986
12.0,4.0,19634.0,270970.0,283,0.06060606060606061,4.0,0.6666666666666666,0.0,0.16666666666666666,23.583333333333332,0.0012018822410219821,0.9725085910652921,0.9730305242467792,1.0,0.992986314761,1.0,-17.3075,0.5003355
9.0,19.0,19634.0,270970.0,1067,0.5277777777777778,19.0,4.222222222222222,0.111111111111,0.5555555555555556,118.55555555555556,0.006041047416843595,0.9656108597285068,0.967575981125861,1.0,0.948783736392,1.0,-65.4575,0.923865
7.0,2.0,19634.0,270970.0,437,0.09523809523809523,2.0,0.5714285714285714,0.0,0.14285714285714285,62.42857142857143,0.0031807495505462593,0.9909297052154195,0.9917354237891686,1.0,0.984555984556,1.0,-27.29,0.923041
12.0,2.0,19634.0,270970.0,216,0.030303030303030304,2.0,0.3333333333333333,0.0,0.08333333333333333,18.0,0.0009173376821934563,0.9818181818181818,0.982216594071572,1.0,0.981481481481,1.0,-13.415,0.4997915
8.0,7.0,19634.0,270970.0,536,0.25,7.0,1.75,0.125,0.375,67.0,0.003413838785284826,0.9745454545454545,0.9755335421903033,1.0,0.978862637951,1.0,-33.105,0.960069
16.0,15.0,19634.0,270970.0,1887,0.125,15.0,1.875,0.0,0.375,117.9375,0.006011698440207972,0.9843505477308294,0.9878205926189034,1.0,0.978885890129,0.9375,-117.18,0.762024
19.0,10.0,19634.0,270970.0,606,0.05847953216374269,10.0,1.0526315789473684,0.0526315789474,0.3157894736842105,31.894736842105264,0.0016260380750499751,0.9680511182108626,0.9691681153686026,1.0,0.951535718746,1.0,-37.3225,0.7138465
18.0,5.0,19634.0,270970.0,1525,0.032679738562091505,5.0,0.5555555555555556,0.0,0.2222222222222222,84.72222222222223,0.004319036614101867,0.993485342019544,0.9962914621214843,1.0,0.988260324346,1.0,-94.855,0.590161
15.0,4.0,19634.0,270970.0,869,0.0380952380952381,4.0,0.5333333333333333,0.0,0.13333333333333333,57.93333333333333,0.002952919788640264,0.9908779931584949,0.9924789482046352,1.0,0.994408144029,1.0,-54.07,0.842094
15.0,2.0,19634.0,270970.0,307,0.01904761904761905,2.0,0.26666666666666666,0.0,0.06666666666666667,20.466666666666665,0.0010432064155495523,0.9871382636655949,0.9877044304948578,1.0,0.97037037037,1.0,-18.84,0.737514
16.0,10.0,19634.0,270970.0,940,0.08333333333333333,10.0,1.25,0.0625,0.1875,58.75,0.0029946987460495464,0.9791666666666666,0.9808982365005096,1.0,0.995602780404,1.0,-57.73,0.630142
17.0,15.0,19634.0,270970.0,534,0.11029411764705882,15.0,1.7647058823529411,0.0,0.4117647058823529,31.41176470588235,0.0016012522152154944,0.9468085106382979,0.9477929440544661,1.0,0.958652485261,1.0,-32.7025,0.757306
10.0,2.0,19634.0,270970.0,150,0.044444444444444446,2.0,0.4,0.0,0.1,15.0,0.0007643701589889931,0.974025974025974,0.9743026828876675,1.0,0.982608695652,1.0,-9.1475,0.903403
10.0,4.0,19634.0,270970.0,671,0.08888888888888889,4.0,0.8,0.0,0.3,67.1,0.003419282511210762,0.9882179675994109,0.9894545991698225,1.0,0.988256255939,1.0,-41.78,0.562196
